site,trend_rank,trend_type,reference_name,page_path,pageviews,users,suggested_app_entity_type,suggested_app_entity_name,matched_entity_type,matched_entity_name,mapping_status,mapping_confidence,trend_score,trend_band,mapping_reason
Wine-Now,1,category,Red Wine Category,/wine/red-wine.html,1577,518,classification,Red Wine Category,classification,Red Wine,mapped_exact,high,1848.66,critical,Website category normalized to existing classification taxonomy.
Wine-Now,2,hub,Wine Category,/wine.html,1336,491,navigation_hub,Wine Category,,,reference_only,medium,1434.2,critical,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,3,hub,All brands,/brands,426,254,navigation_hub,All brands,,,reference_only,medium,476.8,critical,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,4,category,White Wine Category,/wine/white-wine.html,395,141,classification,White Wine Category,classification,White Wine,mapped_exact,high,465.52,critical,Website category normalized to existing classification taxonomy.
Wine-Now,5,collection,Best Sellers Right Now,/recommend/special-of-the-week.html,338,188,collection_theme,Best Sellers Right Now,,,reference_only,medium,375.6,critical,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
LIQ9,6,category,Single Malt Whisky Category,/whisky/the-single-malt-whisky.html,262,47,classification,Single Malt Whisky Category,,,unmapped,low,298.54,critical,Needs manual taxonomy decision.
Wine-Now,7,category,Sparkling Wine Category,/wine/sparkling-wine.html,232,103,classification,Sparkling Wine Category,classification,Sparkling Wine,mapped_exact,high,277.86,critical,Website category normalized to existing classification taxonomy.
Wine-Now,8,category,Champagne Category,/wine/champagne-wine.html,224,110,classification,Champagne Category,classification,Champagne,mapped_exact,high,270.6,critical,Website category normalized to existing classification taxonomy.
LIQ9,9,category,Brandy Category,/liquor/brandy.html,216,45,classification,Brandy Category,classification,Brandy,mapped_exact,high,247.5,critical,Website category normalized to existing classification taxonomy.
LIQ9,10,collection,Special of the Month,/recommend/special-of-the-month-liq9.html,197,30,collection_theme,Special of the Month,,,reference_only,medium,203.0,critical,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,11,brand_hub,Penfolds Brand Page,/penfolds,165,95,brand,Penfolds,brand,Penfolds,mapped_exact,high,184.0,high,Website brand page matched existing brand taxonomy.
Wine-Now,12,collection,Trending items,/recommend/trending-items.html,167,83,collection_theme,Trending items,,,reference_only,medium,183.6,high,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
LIQ9,13,category,Scotch Whisky Category,/whisky/scotch-whisky.html,157,34,classification,Scotch Whisky Category,,,unmapped,low,180.18,high,Needs manual taxonomy decision.
Wine-Now,14,collection,Value Pack,/recommend/value-pack.html,157,94,collection_theme,Value Pack,,,reference_only,medium,175.8,high,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,15,collection,Non-Alcoholic Collection,/wine-now-selection/non-alcoholic.html,153,99,collection_theme,Non-Alcoholic Collection,,,reference_only,medium,172.8,high,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
LIQ9,16,category,Japanese Whisky Category,/whisky/japanese-whisky.html,149,38,classification,Japanese Whisky Category,,,unmapped,low,172.26,high,Needs manual taxonomy decision.
LIQ9,17,hub,Liquor Category,/liquor.html,157,45,navigation_hub,Liquor Category,,,reference_only,medium,166.0,high,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,18,collection,Bordeaux Trio Set,/recommend/bordeaux-trio-set.html,146,68,collection_theme,Bordeaux Trio Set,,,reference_only,medium,159.6,high,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,19,collection,Gift Box,/recommend/gift-box.html,139,83,collection_theme,Gift Box,,,reference_only,medium,155.6,high,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,20,brand_hub,Robert Mondavi Brand Page,/robert_mondavi,139,76,brand,Robert Mondavi,brand,Robert Mondavi,mapped_exact,high,154.2,high,Website brand page matched existing brand taxonomy.
Wine-Now,21,category,Rose Wine Category,/wine/rose-wine.html,124,65,classification,Rose Wine Category,classification,Rose Wine,mapped_exact,high,150.7,high,Website category normalized to existing classification taxonomy.
Wine-Now,22,brand_hub,Granmonte Brand Page,/granmonte,129,79,brand,Granmonte,brand,Granmonte,mapped_exact,high,144.8,high,Website brand page matched existing brand taxonomy.
LIQ9,23,category,American Whiskey Category,/whisky/american-whiskey.html,123,43,classification,American Whiskey Category,,,unmapped,low,144.76,high,Needs manual taxonomy decision.
Wine-Now,24,brand_hub,Veuve Clicquot Brand Page,/veuve_clicquot,106,80,brand,Veuve Clicquot,brand,Veuve Clicquot,mapped_exact,high,122.0,high,Website brand page matched existing brand taxonomy.
Wine-Now,25,brand_hub,Chateau Mouton Rothschild Brand Page,/chateau_mouton_rothschild,105,75,brand,Chateau Mouton Rothschild,brand,Chateau Mouton Rothschild,mapped_exact,high,120.0,high,Website brand page matched existing brand taxonomy.
LIQ9,26,category,Gin Category,/liquor/gin.html,98,29,classification,Gin Category,classification,Gin,mapped_exact,high,114.18,high,Website category normalized to existing classification taxonomy.
Wine-Now,27,brand_hub,Opus One Brand Page,/opus_one,98,67,brand,Opus One,brand,Opus One,mapped_exact,high,111.4,high,Website brand page matched existing brand taxonomy.
Wine-Now,28,collection,Riedel Sommeliers Black Series Special Edition,/wine-now-selection/riedel-sommeliers-black-series-special-edition.html,89,63,collection_theme,Riedel Sommeliers Black Series Special Edition,,,reference_only,medium,101.6,high,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,29,collection,Curated Wine Selections,/all-feature-selection,93,26,collection_theme,Curated Wine Selections,,,reference_only,medium,98.2,medium,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,30,brand_hub,Moet & Chandon Brand Page,/moet_chandon,84,64,brand,Moet & Chandon,brand,Moet & Chandon,mapped_exact,high,96.8,medium,Website brand page matched existing brand taxonomy.
Wine-Now,31,brand_hub,Monsoon Valley Brand Page,/monsoon_valley,83,50,brand,Monsoon Valley,brand,Monsoon Valley,mapped_exact,high,93.0,medium,Website brand page matched existing brand taxonomy.
Wine-Now,32,brand_hub,Chateau de la Vieille Tour Brand Page,/chateau_de_la_vieille_tour,77,55,brand,Chateau de la Vieille Tour,brand,Chateau de la Vieille Tour,mapped_exact,high,88.0,medium,Website brand page matched existing brand taxonomy.
LIQ9,33,category,Rum Category,/liquor/rum.html,76,19,classification,Rum Category,classification,Rum,mapped_exact,high,87.78,medium,Website category normalized to existing classification taxonomy.
LIQ9,34,brand_hub,Inchon Brand Page,/inchon,74,62,brand,Inchon,brand,Inchon,mapped_exact,high,86.4,medium,Website brand page matched existing brand taxonomy.
Wine-Now,35,brand_hub,Ruinart Brand Page,/ruinart,75,53,brand,Ruinart,brand,Ruinart,mapped_exact,high,85.6,medium,Website brand page matched existing brand taxonomy.
Wine-Now,36,brand_hub,Donnafugata Brand Page,/donnafugata,73,57,brand,Donnafugata,brand,Donnafugata,mapped_exact,high,84.4,medium,Website brand page matched existing brand taxonomy.
LIQ9,37,hub,All brands,/brands,74,41,navigation_hub,All brands,,,reference_only,medium,82.2,medium,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
LIQ9,38,category,Tequila Category,/liquor/tequila.html,70,15,classification,Tequila Category,classification,Tequila,mapped_exact,high,80.3,medium,Website category normalized to existing classification taxonomy.
Wine-Now,39,collection,The Prosecco Collection,/wine-now-selection/the-prosecco.html,68,56,collection_theme,The Prosecco Collection,,,reference_only,medium,79.2,medium,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,40,collection,Amarone Selection,/wine-now-selection/amarone-selection.html,65,45,collection_theme,Amarone Selection,,,reference_only,medium,74.0,medium,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,41,hub,Accessory Category,/accessory.html,64,48,navigation_hub,Accessory Category,,,reference_only,medium,73.6,medium,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,42,brand_hub,Freixenet Brand Page,/freixenet,61,45,brand,Freixenet,brand,Freixenet,mapped_exact,high,70.0,medium,Website brand page matched existing brand taxonomy.
LIQ9,43,hub,Barware Category,/barware.html,66,12,navigation_hub,Barware Category,,,reference_only,medium,68.4,medium,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
LIQ9,44,category,Cigar Category,/other/cigar.html,56,19,classification,Cigar Category,classification,Cigar,mapped_exact,high,65.78,medium,Website category normalized to existing classification taxonomy.
Wine-Now,45,brand_hub,Cloudy Bay Brand Page,/cloudy_bay,52,40,brand,Cloudy Bay,brand,Cloudy Bay,mapped_exact,high,60.0,medium,Website brand page matched existing brand taxonomy.
Wine-Now,46,collection,Barolo Collection,/wine-now-selection/barolo.html,52,39,collection_theme,Barolo Collection,,,reference_only,medium,59.8,medium,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,47,brand_hub,Dom Perignon Brand Page,/dom_perignon,51,42,brand,Dom Perignon,brand,Dom Perignon,mapped_exact,high,59.4,medium,Website brand page matched existing brand taxonomy.
LIQ9,48,collection,Trending Items Liquor,/recommend/trending-items-liquor.html,55,20,collection_theme,Trending Items Liquor,,,reference_only,medium,59.0,medium,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,49,brand_hub,Baron Philippe de Rothschild Brand Page,/baron_philippe_de_rothschild,50,28,brand,Baron Philippe de Rothschild,brand,Baron Philippe de Rothschild,mapped_exact,high,55.6,medium,Website brand page matched existing brand taxonomy.
Wine-Now,50,category,Port Wine Category,/wine/port-wine.html,45,24,classification,Port Wine Category,classification,Port Wine,mapped_exact,high,54.78,medium,Website category normalized to existing classification taxonomy.
Wine-Now,51,brand_hub,Louis Roederer Brand Page,/louis_roederer,46,37,brand,Louis Roederer,brand,Louis Roederer,mapped_exact,high,53.4,medium,Website brand page matched existing brand taxonomy.
Wine-Now,52,brand_hub,Catena Zapata Brand Page,/catena_zapata,47,31,brand,Catena Zapata,brand,Catena Zapata,mapped_exact,high,53.2,medium,Website brand page matched existing brand taxonomy.
Wine-Now,53,brand_hub,Greywacke Brand Page,/greywacke,45,32,brand,Greywacke,brand,Greywacke,mapped_exact,high,51.4,medium,Website brand page matched existing brand taxonomy.
LIQ9,54,spirit_region,Islay,/whisky/the-single-malt-whisky/islay.html,37,18,region,Islay,region,Islay,mapped_exact,high,46.69,medium,Website region page matched existing regional taxonomy.
LIQ9,55,brand_hub,Nikka Brand Page,/nikka,42,23,brand,Nikka,brand,Nikka,mapped_exact,high,46.6,medium,Website brand page matched existing brand taxonomy.
LIQ9,56,spirit_region,Speyside,/whisky/the-single-malt-whisky/speyside.html,33,15,region,Speyside,region,Speyside,mapped_exact,high,41.4,medium,Website region page matched existing regional taxonomy.
LIQ9,57,category,Vodka Category,/liquor/vodka.html,35,10,classification,Vodka Category,classification,Vodka,mapped_exact,high,40.7,medium,Website category normalized to existing classification taxonomy.
LIQ9,58,spirit_region,Highland,/whisky/the-single-malt-whisky/highland.html,33,9,region,Highland,region,Highland,mapped_exact,high,40.02,medium,Website region page matched existing regional taxonomy.
LIQ9,59,category,Sake / Shochu Category,/liquor/sake-soju.html,32,6,classification,Sake / Shochu Category,classification,Sake/Shochu,mapped_exact,high,36.52,watch,Website category normalized to existing classification taxonomy.
LIQ9,60,category,Irish Whiskey Category,/whisky/irish-whiskey.html,28,17,classification,Irish Whiskey Category,,,unmapped,low,34.54,watch,Needs manual taxonomy decision.
LIQ9,61,brand_hub,Morris Brand Page,/morris,29,11,brand,Morris,brand,Morris,mapped_exact,high,31.2,watch,Website brand page matched existing brand taxonomy.
LIQ9,62,category,Rum Category,/liquor/rum.html,25,7,classification,Rum Category,classification,Rum,mapped_exact,high,29.04,watch,Website category normalized to existing classification taxonomy.
LIQ9,63,brand_hub,Jack Daniel's Brand Page,/jack_daniel_s,26,12,brand,Jack Daniel's,brand,Jack Daniel's,mapped_exact,high,28.4,watch,Website brand page matched existing brand taxonomy.
LIQ9,64,brand_hub,Johnnie Walker Brand Page,/johnnie_walker,23,14,brand,Johnnie Walker,brand,Johnnie Walker,mapped_exact,high,25.8,watch,Website brand page matched existing brand taxonomy.
LIQ9,65,brand_hub,Beluga Brand Page,/beluga,21,17,brand,Beluga,brand,Beluga,mapped_exact,high,24.4,watch,Website brand page matched existing brand taxonomy.
LIQ9,66,category,Bitter Category,/other/bitter.html,16,13,classification,Bitter Category,,,unmapped,low,20.46,watch,Needs manual taxonomy decision.
LIQ9,67,brand_hub,Teremana Brand Page,/teremana,19,6,brand,Teremana,,,unmapped,low,20.2,watch,Needs manual taxonomy decision.
LIQ9,68,category,Umeshu / Yuzushu Category,/liquor/others-liquor/umeshu-yuzushu.html,15,6,classification,Umeshu / Yuzushu Category,,,unmapped,low,17.82,watch,Needs manual taxonomy decision.
LIQ9,69,brand_hub,Hennessy Brand Page,/hennessy,13,8,brand,Hennessy,brand,Hennessy,mapped_exact,high,14.6,watch,Website brand page matched existing brand taxonomy.
LIQ9,70,brand_hub,Suntory Brand Page,/suntory,13,6,brand,Suntory,brand,Suntory,mapped_exact,high,14.2,watch,Website brand page matched existing brand taxonomy.
LIQ9,71,brand_hub,The Macallan Brand Page,/the_macallan,12,10,brand,The Macallan,brand,The Macallan,mapped_exact,high,14.0,watch,Website brand page matched existing brand taxonomy.
LIQ9,72,brand_hub,The Balvenie Brand Page,/the_balvenie,13,4,brand,The Balvenie,brand,The Balvenie,mapped_exact,high,13.8,watch,Website brand page matched existing brand taxonomy.
LIQ9,73,collection,Flavoured Gin Collection,/feature-selection-liq-9/flavoured-gin.html,11,4,collection_theme,Flavoured Gin Collection,,,reference_only,medium,11.8,watch,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
LIQ9,74,brand_hub,Chivas Regal Brand Page,/chivas_regal,9,8,brand,Chivas Regal,brand,Chivas Regal,mapped_exact,high,10.6,watch,Website brand page matched existing brand taxonomy.
LIQ9,75,brand_hub,Campari Brand Page,/campari,9,6,brand,Campari,brand,Campari,mapped_exact,high,10.2,watch,Website brand page matched existing brand taxonomy.
LIQ9,76,collection,Botanical Gin Discovery,/feature-selection-liq-9/botanical-gin-discovery.html,9,4,collection_theme,Botanical Gin Discovery,,,reference_only,medium,9.8,watch,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
