priority_rank,sku,name,source_files,task_types,classification,country,region,producer_inferred,category_bucket,has_live_record,ga_product_rank,ga_brand_rank,ga_taxonomy_rank,producer_repeat_count,task_count,priority_band,score,why_now
1,LOT0071AR,Komasa Jyozo  Akazaru Sparkling (300 ml),"ai_research_flavor_t5.txt, ai_research_grape_t5.txt, ai_research_region_t5.txt","flavor, grape, region",Sparkling Wine,Japan,,Komasa Jyozo,sparkling_wine,yes,,,,6,3,publish_fast_lane,90,live Product Engine record; repeated producer (6 SKUs); appears in 3 task queues; strong producer reuse; high-frequency country
2,WSP5665AA,Penfolds  Champagne Rose Thienot x Penfolds,ai_research_flavor_t2.txt,flavor,Champagne,France,Champagne,Penfolds Champagne,sparkling_wine,yes,,1,,2,1,ga_brand_cluster,89,live Product Engine record; top GA brand rank #1; current priority TXT file; high-frequency country
3,WWW2401AD,Penfolds  Max's Chardonnay,ai_research_flavor_t2.txt,flavor,White Wine,Australia,South Australia,Penfolds Max's,wine,yes,,1,,2,1,ga_brand_cluster,89,live Product Engine record; top GA brand rank #1; current priority TXT file; high-frequency country
4,WSP2585BU,Dom Perignon  P2 2004,"ai_research_grape_t5.txt, ai_research_region_t5.txt","grape, region",Orange Wine,France,,Dom Perignon,wine,yes,,34,,7,2,publish_fast_lane,85,live Product Engine record; top GA brand rank #34; repeated producer (7 SKUs); appears in 2 task queues; strong producer reuse; high-frequency country
5,WSP5777AD,Penfolds  Champagne Cuvee Brut,ai_research_flavor_t3.txt,flavor,Champagne,France,Champagne,Penfolds Champagne,sparkling_wine,yes,,1,,2,1,ga_brand_cluster,75,live Product Engine record; top GA brand rank #1; high-frequency country
6,WRW0571AA,"Velenosi  Breciarolo Gold, Rosso Piceno Superiore DOC","ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",Red Wine,Italy,,Velenosi Breciarolo,wine,yes,,17,,1,2,publish_fast_lane,74,live Product Engine record; top GA brand rank #17; appears in 2 task queues; high-frequency country
7,WRW5779AA,Penfolds  II Dourthe Cabernet Shiraz,ai_research_flavor_t3.txt,flavor,Red Wine,Australia,Bordeaux,Penfolds II,wine,yes,,1,,1,1,ga_brand_cluster,74,live Product Engine record; top GA brand rank #1; high-frequency country
10,WRW6618AA,"Baron Philippe de Rothschild  Mouton Cadet Bordeaux Rouge Bio ""Pierre""",ai_research_flavor_t3.txt,flavor,Red Wine,France,Bordeaux,Baron Philippe de Rothschild Mouton Cadet Bordeaux Rouge Bio,wine,yes,,5,,1,1,ga_brand_cluster,70,live Product Engine record; top GA brand rank #5; high-frequency country
11,WWW5149AA,Baron Philippe de Rothschild  Mouton Cadet Reserve Sauternes,ai_research_grape_t2.txt,grape,Dessert Wine,France,Bordeaux,Baron Philippe,wine,yes,,5,,1,1,ga_brand_cluster,70,live Product Engine record; top GA brand rank #5; high-frequency country
12,WWW5423AA,"Baron Philippe de Rothschild  Mouton Cadet Bordeaux Blanc BIO ""Nathan""",ai_research_flavor_t3.txt,flavor,White Wine,France,Bordeaux,Baron Philippe de Rothschild Mouton Cadet Bordeaux Blanc BIO,wine,yes,,5,,1,1,ga_brand_cluster,70,live Product Engine record; top GA brand rank #5; high-frequency country
13,LGP0091FX,Granmonte  Red Jungle Grappa (330 ml),ai_research_flavor_t3.txt,flavor,Brandy,Thailand,Khao Yai,Granmonte Red,brandy_and_grappa,yes,,3,,2,1,ga_brand_cluster,69,live Product Engine record; top GA brand rank #3
14,LGP0092FX,Granmonte  Red Jungle Grappa (700 ml),ai_research_flavor_t5.txt,flavor,Brandy,Thailand,Khao Yai,Granmonte Red,brandy_and_grappa,yes,,3,,2,1,ga_brand_cluster,69,live Product Engine record; top GA brand rank #3
15,LSK0445FS,Hakutsuru  Purupuru Sparkling Jelly Sake Peach (190 ml) (Pack 30 Can),"ai_research_grape_t3.txt, ai_research_region_t3.txt","grape, region",Sparkling Wine,Japan,,Hakutsuru Purupuru,sparkling_wine,yes,,,,3,2,publish_fast_lane,69,live Product Engine record; repeated producer (3 SKUs); appears in 2 task queues; high-frequency country
16,LSK0446FS,Hakutsuru  Purupuru Sparkling Jelly Sake Apple (190 ml) (Pack 30 Can),"ai_research_grape_t3.txt, ai_research_region_t3.txt","grape, region",Sparkling Wine,Japan,,Hakutsuru Purupuru,sparkling_wine,yes,,,,3,2,publish_fast_lane,69,live Product Engine record; repeated producer (3 SKUs); appears in 2 task queues; high-frequency country
17,LSK0447FS,Hakutsuru  Purupuru Sparkling Jelly Sake Plum (190 ml) (Pack 30 Can),"ai_research_grape_t5.txt, ai_research_region_t5.txt","grape, region",Sparkling Wine,Japan,,Hakutsuru Purupuru,sparkling_wine,yes,,,,3,2,publish_fast_lane,69,live Product Engine record; repeated producer (3 SKUs); appears in 2 task queues; high-frequency country
18,WRW2444BN,Chateau Haut Bailly  Grand Cru Classe 2016,"ai_research_flavor_t3.txt, ai_research_region_t3.txt","flavor, region",Red Wine,France,,Chateau Haut,wine,yes,,,,3,2,publish_fast_lane,69,live Product Engine record; repeated producer (3 SKUs); appears in 2 task queues; high-frequency country
35,LSK0013AR,Fukuju  Awasaki Sparkling Sake (300 ml),"ai_research_flavor_t3.txt, ai_research_grape_t3.txt","flavor, grape",Sparkling Wine,Japan,Champagne,Fukuju Awasaki,sparkling_wine,yes,,,,1,2,publish_fast_lane,67,live Product Engine record; appears in 2 task queues; high-frequency country
36,LSK0301AR,Dewazakura   Sparkling Saku (250 ml),"ai_research_grape_t5.txt, ai_research_region_t5.txt","grape, region",Sparkling Wine,Japan,,Dewazakura Sparkling,sparkling_wine,yes,,,,1,2,publish_fast_lane,67,live Product Engine record; appears in 2 task queues; high-frequency country
37,WRW3764DJ,Chateau Falfas   Le Chevalier,"ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",Red Wine,France,,Chateau Falfas,wine,yes,,,,1,2,publish_fast_lane,67,live Product Engine record; appears in 2 task queues; high-frequency country
38,WRW4871BN,Amiral de Beychevelle  Saint Julien,"ai_research_flavor_t3.txt, ai_research_region_t3.txt","flavor, region",Red Wine,France,,Amiral de,wine,yes,,,,1,2,publish_fast_lane,67,live Product Engine record; appears in 2 task queues; high-frequency country
39,WRW4899AA,"Fattoria Aldobrandesca By Antinori  Vie Cave, Malbec IGT","ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",Red Wine,Italy,,Fattoria Aldobrandesca,wine,yes,,,,1,2,publish_fast_lane,67,live Product Engine record; appears in 2 task queues; high-frequency country
40,WRW4969AF,"Domain De Baronaques  ""Rouges"" By Baron Phillippe De Rothschild","ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",Red Wine,France,,Domain De Baronaques,wine,yes,,,,1,2,publish_fast_lane,67,live Product Engine record; appears in 2 task queues; high-frequency country
58,WSP5765EG,Dom Ruinart Blanc de Blanc 2010,ai_research_flavor_t3.txt,flavor,Champagne,France,Champagne,Dom Ruinart,sparkling_wine,yes,,9,,1,1,ga_brand_cluster,66,live Product Engine record; top GA brand rank #9; high-frequency country
82,WRS0244GS,Monemvasia	 Voltes Rose,"ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",Rose Wine,Greece,,Monemvasia Voltes,wine,yes,,,,2,2,publish_fast_lane,64,live Product Engine record; appears in 2 task queues
83,WRW6149DH,Bianka & Daniel Schmitt  Piros Trocken,"ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",Red Wine,Germany,,Bianka &,wine,yes,,,,2,2,publish_fast_lane,64,live Product Engine record; appears in 2 task queues
84,WRW6437GS,Monemvasia	 Voltes Red,"ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",Red Wine,Greece,,Monemvasia Voltes,wine,yes,,,,2,2,publish_fast_lane,64,live Product Engine record; appears in 2 task queues
88,WWW5377DH,Bianka & Daniel Schmitt  Feminin Trocken,"ai_research_flavor_t3.txt, ai_research_region_t3.txt","flavor, region",White Wine,Germany,,Bianka &,wine,yes,,,,2,2,publish_fast_lane,64,live Product Engine record; appears in 2 task queues
89,LGN0310DG,Glendalough Rose Gin (700 ml),"ai_research_grape_t5.txt, ai_research_region_t5.txt","grape, region",Rose Wine,Ireland,,Glendalough Rose,wine,yes,,,,1,2,publish_fast_lane,63,live Product Engine record; appears in 2 task queues
106,WWW5348FP,Edition Abtei  Himmerod Riesling Trocken,"ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",White Wine,Germany,,Edition Abtei,wine,yes,,,,1,2,publish_fast_lane,63,live Product Engine record; appears in 2 task queues
490,WWW2208BU,Jacob's Creek  Classic Semillon Chardonnay (750 ml),ai_research_flavor_t5.txt,flavor,White Wine,Australia,South Eastern Australia,Jacob's Creek,wine,no,,2,,2,1,ga_brand_cluster,44,top GA brand rank #2; high-frequency country
