supplier_code,supplier_name,pricing_structure,drive_supplier_folder_name,profile_status,input_file_type,latest_sample_file,latest_sample_file_id,header_detection,code_column,name_column,cost_column,rsp_column,discount_column,vat_handling,normalization_strategy,automation_confidence,notes
AA,Italasia Head Office,rsp_price,Italasia (Update),profiled,xlsx,"Wine Price List 20.04.26 update.xlsx",1X5qAAA2bYBOdJ7TWsXwSlRZvg1V8DbeX,"Repeated table headers per producer/region section. Main wine header uses Code, product name column, Type, Vol., Vintage, Rating, FB Price, Retail Price, Remark.",Code,"Unnamed product column after Code / Item depending section",FB Price,Retail Price,,prices appear net source values; confirm VAT policy,"Spreadsheet parser with repeated-header detection. Carry section/producer and region context from heading rows. For Monin/water sections use alternate Code/Item/Size/Price profile.",high,"One supplier file may contain wine, syrup, water, and planogram tabs/sections. Need skip non-product planning sheets."
AA2,Italasia Spirits,rsp_price,Italasia (Update),profiled_by_shared_folder,xlsx,"Wine Price List 20.04.26 update.xlsx",1X5qAAA2bYBOdJ7TWsXwSlRZvg1V8DbeX,"Shared Italasia folder/profile. Need identify spirits section or separate file when available.",Code,Item/description,FB Price,Retail Price,,confirm,"Use Italasia parser but restrict by section/category when configuring AA2.",medium,"Variant code shares folder with AA. Do not duplicate rows unless category filter is set."
AA4,Italasia Premium Wine,rsp_price,Italasia (Update),profiled_by_shared_folder,xlsx,"Wine Price List 20.04.26 update.xlsx",1X5qAAA2bYBOdJ7TWsXwSlRZvg1V8DbeX,"Shared Italasia folder/profile. Need identify premium wine sections or separate file when available.",Code,Item/description,FB Price,Retail Price,,confirm,"Use Italasia parser but restrict by premium wine section/brand list when configured.",medium,"Variant code shares folder with AA."
AB,BB&B Wine,no_rsp_price,BB&B,profiled,xlsx,"Coravin BB&B 11.05.27.xlsx",1YgNPl_KNA-oDn23AIWRQSMEeuKJ-ND6k,"Single clean header row: ID, Code, Product, Normal Price, Discount.",Code,Product,calculated from Normal Price and Discount,,Discount,discount is percent decimal,"Simple spreadsheet parser. Calculate supplier cost as Normal Price * (1 - Discount). Website price should use formula because this bucket is NO RSP.",high,"Sample file is Coravin/accessory focused; same folder may include catalog PDFs."
AB2,BB&B Liquor,no_rsp_price,BB&B,profiled_by_shared_folder,xlsx,"Coravin BB&B 11.05.27.xlsx",1YgNPl_KNA-oDn23AIWRQSMEeuKJ-ND6k,"Shared BB&B folder/profile. Need confirm liquor-specific file.",Code,Product,calculated from Normal Price and Discount,,Discount,discount is percent decimal,"Use BB&B simple parser when source file has same columns; otherwise create AB2-specific profile.",medium,"Variant code shares folder with AB."
AB3,BB&B Glassware,no_rsp_price,BB&B,profiled_by_shared_folder,xlsx,"Coravin BB&B 11.05.27.xlsx",1YgNPl_KNA-oDn23AIWRQSMEeuKJ-ND6k,"Sample exactly matches accessory/glassware style.",Code,Product,calculated from Normal Price and Discount,,Discount,discount is percent decimal,"Use BB&B simple parser.",high,"Likely a good fit for AB3."
EQ,United Beverage,rsp_price,United Beverage (Update),profiled,xlsx,"4. Quotation May 2026.xlsx",1RR79LP8syIthcLlazWZjE2A-7g5dpWxU,"Thai quotation with letterhead. Header spans rows 12-13. Product rows start around row 14.",,สินค้า,"ราคาส่งเข้าร้าน / ราคา/ขวด ไม่รวม Vat","ราคาแนะนำขายหน้าร้าน Retail",,has ex-VAT and VAT-included cost columns,"Spreadsheet parser with fixed Thai header aliases. Use product text as match key; no supplier item code visible in sample.",high,"Cost should probably use VAT-included cost for database if current costs are VAT-included; confirm accounting policy."
FS,SK Liquor,no_rsp_price,SK Liqour (Update),profiled_pdf,pdf,"SK WINE PRice List2026-2(1).pdf",1T80kK4fzo2iUwi5ziCLvP7qDpk2Fqk0W,"PDF text extraction is noisy; catalog combines product storytelling, item codes, barcodes, pack size, and prices.",Item Code,nearby product title,Price,,,"unclear; prices appear as retail/catalog price in text","Do not auto-commit from PDF extraction. First build PDF-to-draft extractor that proposes rows, then require human normalized CSV approval.",low,"Needs OCR/table extraction review. Some prices appear as 675.- etc near barcode blocks."
BU,Surawong Store,retail_cash_store,Surawong Store (Update),profiled_pdf,pdf,"ใบราคา1.5.69 ราคาที่2 (1).pdf",1H0W5-E63gqsSOK9GpI8aSNOoFysehFv6,"PDF text has recognizable table: TYPE PRODUCTS Size Pack Price/bottle Excl Vat 7.",,PRODUCTS,Price/bottle Excl Vat 7,,,"explicit pre-VAT pricing","PDF line parser can draft rows by matching category/product/size/pack/price pattern, but needs human review for line breaks and missing item codes.",medium,"Retail cash-store supplier may not provide item codes; matching must rely on name, size, category, pack, and brand."
BU(2),Suriwongse Store OTHER,retail_cash_store,Surawong Store (Update),profiled_by_shared_folder,pdf,"ใบราคา1.5.69 ราคาที่2 (1).pdf",1H0W5-E63gqsSOK9GpI8aSNOoFysehFv6,"Shared Surawong profile.",,PRODUCTS,Price/bottle Excl Vat 7,,,"explicit pre-VAT pricing","Use Surawong PDF parser with BU variant rules.",medium,"Variant code shares folder with BU."
BU(4),Suriwongse Store Pernod Ricard,retail_cash_store,Surawong Store (Update),profiled_by_shared_folder,pdf,"ใบราคา1.5.69 ราคาที่2 (1).pdf",1H0W5-E63gqsSOK9GpI8aSNOoFysehFv6,"Shared Surawong profile.",,PRODUCTS,Price/bottle Excl Vat 7,,,"explicit pre-VAT pricing","Use Surawong PDF parser with Pernod Ricard brand/category filters.",medium,"Variant code shares folder with BU."
BU(8),Chalamnimit Diageo,retail_cash_store,Chalamnimit (Update),pending_profile,pdf,,,,,,,,,,,pending,"Mapped supplier folder exists but file content not yet profiled. Profile from Chalamnimit folder next."
BU(9),Suriwongse Store Brown-Forman,retail_cash_store,Surawong Store (Update),profiled_by_shared_folder,pdf,"ใบราคา1.5.69 ราคาที่2 (1).pdf",1H0W5-E63gqsSOK9GpI8aSNOoFysehFv6,"Shared Surawong profile.",,PRODUCTS,Price/bottle Excl Vat 7,,,"explicit pre-VAT pricing","Use Surawong PDF parser with Brown-Forman brand/category filters.",medium,"Variant code shares folder with BU."
AC,Universal Fine Wine & Spirit,rsp_price,Universal Wine (Update),profiled_pdf,pdf,PDF.pdf,1tMgGoRzUxqU41Ijbucv7fy5oQkSefBcG,"PDF catalogue with country/region sections. Product blocks include name, Size, Region, Product Type, vintage, and price.",,product block text,price near product block,,,"condition says prices are subject to 7% VAT","PDF catalogue parser can draft rows from Size/Region/Product Type/price blocks. Human review required before SKU/cost/RSP update because item codes are not visible.",low,"Good product detail but weak database keys. Matching should rely on normalized name, size, vintage, region, and product type."
AH,Ambrose,rsp_price,Ambrose (Update),profiled_pdf,pdf,Winenow price lsit UPDATE.pdf,1roS6wPYKtJkWfeS4P03oA8xiP7rDlaNH,"PDF text is structured like a table. Repeated header: Item Code, Type, Product, Vintage, Wine-Now NTT, Regular RSP incl VAT, Regular RSP excl VAT, Wine-Now margin.",Item Code,Product,Wine-Now NTT,Regular RSP incl VAT,,remark says price above exclude VAT 7%,"PDF table parser can draft reliable rows from item-code line pattern, then validate RSP incl/excl VAT and margin.",medium,"Strong supplier item code and pricing columns. Need confirm whether Wine-Now NTT is supplier cost or internal net trade term."
GE,Great Wine,rsp_price,Great wine (Update),profiled,xlsx,List Catalog Greatwine Thailand 3.2026.xlsx,14-feAoBgExa3RSA89ed90QmkWY4CGk65,"Clean workbook/table. Header includes Code, Type, Names, Grapes or Ingredient, Region, Country, Vintage, Wholesale Price (THB), RSP (THB), sometimes Promotion (THB).",Code,Names,Wholesale Price (THB),RSP (THB),,confirm,"Spreadsheet parser with header aliases. Carry Type, grapes/ingredient, region, country, vintage. Promotion can be stored as notes or future promotion price field.",high,"Some rows have blank supplier codes, so new-SKU proposals will need name/size/vintage matching and human review."
AD,IWS,rsp_price,IWS (Update RSP / waiting Pricelist),profiled_pdf,pdf,Corporate Price List May 26.pdf,1DAo1Cfr6SkLBAJgJ7tNS_kLxu6gtTAVz,"Large PDF catalogue. Repeated table header: CODE NAME APPELLATION VINTAGE RATING UNIT PACK PRICE. Sections include wine, spirits, fortified, sake, liqueur, RTD. Footer says prices include 7% VAT.",CODE,NAME,PRICE,,,"prices are in THB per bottle including 7% VAT","PDF table extractor can draft rows using code-prefixed lines and repeated header blocks. Treat asterisk special-condition marker and multi-line ratings as notes. Product admin review required before import.",medium,"Strong supplier item codes make matching safer, but PDF text wraps across lines and has special condition markers."
AF,Vanichwattana,no_rsp_price,Vanichwathana (Update),profiled,xlsx,WineNow_Fu_Website_January  2026_Final.xlsx,1lvE7jykAn2bJbhti0p6Mu2-M1ty_3VS2,"Workbook with many sheets/sections and repeated category headers. Common fields: Code, category-specific product column, Vintage, Size, Price/Bottle, Price/12Bottles, SRP. Includes discounts like -20%, NET, special prices, and out-of-stock notes.",Code,category-specific product column,Price/Bottle,SRP,,prices subject to 7% VAT in cover notes,"Spreadsheet repeated-header parser with price-expression parsing. Carry brand/producer/country section rows. Convert discounts like 1200-20% into raw price and discount fields; route NET/special/out-of-stock rows to review.",medium,"Good source codes, but many section-specific headers and mixed Japanese catalogue layout sections require validation."
AE,Gfour,rsp_price,Gfour,profiled_pdf,pdf,Spanish and New World Wine (trade)Full_compressed.pdf,1JwSwkOnIyEu3_n0V_DTWj5fBPsvo8_66,"PDF proposal/catalogues split by region. Item blocks expose description, year, unit price, special price, wine type, item code, alcohol, region, stock note, grape/spec, and bottle size. Footer says prices exclude 7% VAT.",item Code,description,Special Price / unit Price,,,"prices exclude 7% VAT","PDF block extractor across all files in latest folder. Use item code and product description, preserve region/grape/stock notes. Product admin review required due PDF ordering and multi-file source.",medium,"Latest folder has multiple PDFs for Spanish/New World, French, and Italian wines. Need combine all files in one batch."
