supplier_code,supplier_name,supplier_detail,pricing_structure,drive_bucket_name,drive_supplier_folder_name,drive_supplier_folder_url,profile_status,input_file_type,latest_sample_file,automation_confidence,normalization_readiness,blocker_or_risk,recommended_solution,master_sku_metric_code,master_sku_count,master_top_brands,sample_skus,match_coverage_status,match_coverage_pct,match_coverage_note
DJ,"Wine 5 Co.,Ltd.","Wine 5 Co.,Ltd.",no_rsp_price,2. NO RSP PRICE,Wine 5 (Update),https://drive.google.com/drive/folders/17AjBk_s9xNmsm65kY74iF8lVO96iB1n2,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DJ,398,Domaine Georges Noellat (21); Domaine Jean Fery & Fils (19); Philipponnat Royal (17); Domaine Pierre Girardin (16); Albert Bichot (14),WRW3753DJ; WRW3754DJ; WRW3755DJ; WRW3756DJ; WRW3769DJ; WRW3771DJ,after_normalized_csv,,Requires extracted normalized supplier rows.
DJ(2),"Wine 5 Co.,Ltd.","Wine 5 Co.,Ltd. (Consignment)",no_rsp_price,2. NO RSP PRICE,Wine 5 (Update),https://drive.google.com/drive/folders/17AjBk_s9xNmsm65kY74iF8lVO96iB1n2,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DJ,398,Domaine Georges Noellat (21); Domaine Jean Fery & Fils (19); Philipponnat Royal (17); Domaine Pierre Girardin (16); Albert Bichot (14),WRW3753DJ; WRW3754DJ; WRW3755DJ; WRW3756DJ; WRW3769DJ; WRW3771DJ,after_normalized_csv,,Requires extracted normalized supplier rows.
DR,IWS - Bacardi,IWS - Bacardi (Thailand),rsp_price,1.RSP PRICE,Bacardi,https://drive.google.com/drive/folders/1LUS232nfIitUpgQaeFuBKkNPbvZ_mA6-,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DR,58,Dewar's (9); Bacardi (7); Martini (7); Patron (7); Grey Goose (7),LWH0326DR; LWH0044DR; LWH0327DR; LLQ0079DR; LRM0116DR; LLQ0318DR,after_normalized_csv,,Requires extracted normalized supplier rows.
DW,T/A Beverage,T/A Beverage,no_rsp_price,2. NO RSP PRICE,TA Beverage (Update),https://drive.google.com/drive/folders/1ck8ikuAZ0gJZy5d_X2t95-XtUarvwcTy,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DW,85,Castelli del Grevepesa (11); Bodega Volcanes de Chile (10); Gapsted (9); Phelps Creek (5); Kessler-Zink (4),WRW0097DW; WRW3129DW; WRW3937DW; WRW3938DW; WRW3939DW; WRW3941DW,after_normalized_csv,,Requires extracted normalized supplier rows.
EF,Primal Product,Primal Product,no_rsp_price,2. NO RSP PRICE,Primal Product (Update),https://drive.google.com/drive/folders/1ZiUqqK9s-RuIVbrwMzlph-qEPszDMFpj,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",EF,11,Champagne Lallier (2); Domaine Attilon (2); Chateau Couhins (1); Chateau Latour Martillac (1); Chateau La Fleur (1),WSP1565EF; WSP1566EF; WRS0145EF; WRW4564EF; WRW4571EF; WRW4572EF,after_normalized_csv,,Requires extracted normalized supplier rows.
EG,Wine Direct,Wine Direct (Thailand),no_rsp_price,2. NO RSP PRICE,Wine Direct (Update),https://drive.google.com/drive/folders/1VW8RetcPJBbekfDmOmOsBZAqzrboykAl,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",EG,47,Piper-Heidsieck (17); Charles heidsieck (7); Riondo (4); Allart & Fils (3); Louis Roederer (2),WSP0062EG; WSP1077EG; WSP1082EG; WSP1242EG; WSP1485EG; WSP1297EG,after_normalized_csv,,Requires extracted normalized supplier rows.
EI,Pinnacle Gastro,Pinnacle Gastro,rsp_price,1.RSP PRICE,Pinnacle gastro (Update),https://drive.google.com/drive/folders/1LXcIsFohH0o1VzMH_iPsw1OH-2eK9ys3,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",EI,12,Sober Spirits (5); French Bloom (4); Chavin (2); Winesave (1),ABA0350EI; WSP5749EI; WSP5750EI; WSP5751EI; WSP5752EI; WWW5443EI,after_normalized_csv,,Requires extracted normalized supplier rows.
ER,Magic Potion Ltd.,Magic Potion Ltd.,rsp_price,1.RSP PRICE,Magic Postion (Update),https://drive.google.com/drive/folders/1iB7-riCua_15DHWrTJxrIyk744oAVSQX,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",ER,130,Rock Rose (16); Buss 509 (11); Wolfburn (10); Pierde Almas (8); Casa Maestri (6),LGN0119ER; LGN0120ER; LGN0121ER; LGN0122ER; LGN0123ER; LGN0124ER,after_normalized_csv,,Requires extracted normalized supplier rows.
ER2,Vinelentine,Vinelentine,no_rsp_price,2. NO RSP PRICE,Valentien Wine (Update),https://drive.google.com/drive/folders/1gUeQdDx5PQfHwGsa5nJwSmNCq_7aj5gB,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",ER,130,Rock Rose (16); Buss 509 (11); Wolfburn (10); Pierde Almas (8); Casa Maestri (6),LGN0119ER; LGN0120ER; LGN0121ER; LGN0122ER; LGN0123ER; LGN0124ER,after_normalized_csv,,Requires extracted normalized supplier rows.
ES,Thai Beverage,Thai Beverage,rsp_price,1.RSP PRICE,Thaibev,https://drive.google.com/drive/folders/1Uvj_EhRdnFDqSJP3SqLXnAI17oHoXey-,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",ES,32,Old Pulteney (7); Balblair (5); Phraya (4); Prakaan (4); AnCnoc (3),LWH0470ES; LWH0471ES; LWH0472ES; LWH0473ES; LWH0474ES; LWH0475ES,after_normalized_csv,,Requires extracted normalized supplier rows.
FC,Valentine Wines,Valentine Wines,no_rsp_price,2. NO RSP PRICE,Valentien Wine (Update),https://drive.google.com/drive/folders/1gUeQdDx5PQfHwGsa5nJwSmNCq_7aj5gB,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FC,186,Louis Latour (33); Two Hands (13); Fantinel (10); J. Bouchon (10); M. Chapoutier (8),WRW0468FC; WSP0077FC; WWW0236FC; WWW0238FC; WWW0237FC; WWW0369FC,after_normalized_csv,,Requires extracted normalized supplier rows.
FJ(2),Italthai,Italthai (Consignment),rsp_price,1.RSP PRICE,Italthai (Update),https://drive.google.com/drive/folders/14bFLOa82dqgfwmld9GhHQ-PKkAXK_-Td,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FJ,169,Georges Duboeuf (14); Albert Bichot (12); Yering (9); Xanadu (5); Messenez Family (5),WWW0282FJ; WRW0591FJ; WWW0285FJ; WWW1947FJ; WRW3917FJ; WRW3919FJ,after_normalized_csv,,Requires extracted normalized supplier rows.
FN,Enoteca,Enoteca,no_rsp_price,2. NO RSP PRICE,Enoteca,https://drive.google.com/drive/folders/1G65O0pB9fD8MsZ8ktoe_3gDRg5agihGj,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FN,37,Bodega Norton (4); Bellavista (3); Elderton (3); Mount Mary (3); Ottosoldi (2),WSP1142FN; WSP1160FN; WRW3366FN; WWW1788FN; WSP1147FN; WSP1260FN,after_normalized_csv,,Requires extracted normalized supplier rows.
FO,Wine Merchant,Wine Merchant,no_rsp_price,2. NO RSP PRICE,Wine merchant (Update),https://drive.google.com/drive/folders/1x-3rYKb09c8Qctnstn3S7Uu9ZFzHS5H4,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FO,64,Billecart-Salmon (11); Chateau Margaux (7); Flowers (6); Cotswolds (6); Haymans (3),WSP0003FO; WSP0005FO; WSP0097FO; WSP0096FO; WSP0100FO; WRW4093FO,after_normalized_csv,,Requires extracted normalized supplier rows.
FR,WINE PRO,WINE PRO,rsp_price,1.RSP PRICE,Wine Pro (Update),https://drive.google.com/drive/folders/1LCQLj1uzWLcW8Z4v_POGrxOaVsXESTlt,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FR,54,Torresella (4); Veramonte (4); Familia Correa Lisoni (4); Torrebruna (4); Birchgrove (2),WWW5171FR; WSP2626FR; LGN0111FR; WSP2538FR; WRS0206FR; WSP2627FR,after_normalized_csv,,Requires extracted normalized supplier rows.
FR(2),WINE PRO,WINE PRO (Consignment),rsp_price,1.RSP PRICE,Wine Pro (Update),https://drive.google.com/drive/folders/1LCQLj1uzWLcW8Z4v_POGrxOaVsXESTlt,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FR,54,Torresella (4); Veramonte (4); Familia Correa Lisoni (4); Torrebruna (4); Birchgrove (2),WWW5171FR; WSP2626FR; LGN0111FR; WSP2538FR; WRS0206FR; WSP2627FR,after_normalized_csv,,Requires extracted normalized supplier rows.
FT,LUXE WINE,LUXE WINE,no_rsp_price,2. NO RSP PRICE,LUXE Wine (Update),https://drive.google.com/drive/folders/1Zl7-7iQ3OjV20ZrpUFz-vmlWLrJuorzz,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FT,38,Chateau Faugeres (2); Chateau Brane Cantenac (1); Chateaux Cantemerle (1); Chateau Haut Bergey (1); Chateau Cantemerle (1),WRW0087FT; WRW0559FT; WRW2446FT; WRW4734FT; WRW4971FT; WRW5007FT,after_normalized_csv,,Requires extracted normalized supplier rows.
FU,Wine Diva,Wine Diva (Consignment),no_rsp_price,2. NO RSP PRICE,Wine Diva (Update),https://drive.google.com/drive/folders/18qffz3N6GAb1CFil-1y6vVYB1w12w1VN,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FU,34,Bertani (6); Naudin Père & Fils (4); Huguenot Tassin Champagne (3); Tenuta Amadio (2); San Leonino (2),WSP2650FU; WSP2651FU; WSP2652FU; WSP2653FU; WSP2654FU; WRW5806FU,after_normalized_csv,,Requires extracted normalized supplier rows.
FX,Granmonte,Granmonte,rsp_price,1.RSP PRICE,Granmonte (Update),https://drive.google.com/drive/folders/135-vMXChl9n6O_Ifopo3c2JzYxnaOzaT,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FX,17,Granmonte (17),WRW5854FX; WRW5855FX; WRW5856FX; WRW5857FX; WRW5858FX; WRW5859FX,after_normalized_csv,,Requires extracted normalized supplier rows.
FX(2),Granmonte,Granmonte (Consignment),rsp_price,1.RSP PRICE,Granmonte (Update),https://drive.google.com/drive/folders/135-vMXChl9n6O_Ifopo3c2JzYxnaOzaT,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FX,17,Granmonte (17),WRW5854FX; WRW5855FX; WRW5856FX; WRW5857FX; WRW5858FX; WRW5859FX,after_normalized_csv,,Requires extracted normalized supplier rows.
GC,Finesip,Finesip,rsp_price,1.RSP PRICE,Finesip & Mr.cru (Update),https://drive.google.com/drive/folders/1k7tUN49uZXQzgBG6zx4QBHj7so0NMLoU,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",GC,27,Rochester (7); Tedeschi (4); Chateau Meyre (3); Astrolabe (2); Maxville (2),WRW1669GC; WRW1829GC; WWW2030GC; WRW3957GC; WRW4565GC; WRW4567GC,after_normalized_csv,,Requires extracted normalized supplier rows.
GN,MR.CRU,MR.CRU,rsp_price,1.RSP PRICE,Finesip & Mr.cru (Update),https://drive.google.com/drive/folders/1k7tUN49uZXQzgBG6zx4QBHj7so0NMLoU,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",GN,4,Natura (2); Gentile (1); Fontana di Papa (1),WRW6252GN; WRW6253GN; WRW6254GN; WRW6255GN,after_normalized_csv,,Requires extracted normalized supplier rows.
GU,"One Bev .Co.,Ltd","One Bev .Co.,Ltd (Consignment)",rsp_price,1.RSP PRICE,"One Bev .Co.,Ltd",https://drive.google.com/drive/folders/1OAfmH4tX7ntfmZ6coXmwX5JWQhMaekdZ,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",GU,21,Casal Bordino (2); Domaine Boyer de Bar (2); Domaine Pierre-André Dumas (2); Franzini (2); Cantine Petrosino (1),WRW6525GU; WRW6526GU; WRW6527GU; WRW6528GU; WRW6529GU; WRW6530GU,after_normalized_csv,,Requires extracted normalized supplier rows.
GW,Ideal Wine,Ideal Wine,rsp_price,1.RSP PRICE,Ideal Wine,https://drive.google.com/drive/folders/1WmAvF3v475IOiTTVbvX-QD4ou0DuvVVU,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",GW,294,Reguta (20); Masseria Tagaro (19); Arione (16); Nativ (13); Terre Di Rai (12),LGN0350GW; LLQ0494GW; LLQ0495GW; LLQ0496GW; LLQ0497GW; LLQ0498GW,after_normalized_csv,,Requires extracted normalized supplier rows.
GW(2),Ideal Wine,Ideal Wine (Consignment),rsp_price,1.RSP PRICE,Ideal Wine,https://drive.google.com/drive/folders/1WmAvF3v475IOiTTVbvX-QD4ou0DuvVVU,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",GW,294,Reguta (20); Masseria Tagaro (19); Arione (16); Nativ (13); Terre Di Rai (12),LGN0350GW; LLQ0494GW; LLQ0495GW; LLQ0496GW; LLQ0497GW; LLQ0498GW,after_normalized_csv,,Requires extracted normalized supplier rows.
GX,"Double A Distribution Co., Ltd.","Double A Distribution Co., Ltd. (D.A.D.)",rsp_price,1.RSP PRICE,DAD (Update),https://drive.google.com/drive/folders/1NfRxV0JNGKADFWZATsNIusMQ6IOiH4pA,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",GX,55,Corryton Burge (8); Finca Fella (6); Riporta (5); Tornatore (5); Little Beauty (4),WWW1785GX; WRW3362GX; WWW2174GX; WRW4209GX; WWW6020GX; WRW4211GX,after_normalized_csv,,Requires extracted normalized supplier rows.
HD,The Sake Merchant,The Sake Merchant,rsp_price,1.RSP PRICE,Sake merchant,https://drive.google.com/drive/folders/1_jyQFx2sUA_nx6rBqsxV65zGRR9dh6fo,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",HD,45,Tsuchida (6); Houou Biden (5); Heavensake (5); Nondo (5); Sharaku (5),LSK0628HD; LSK0629HD; LSK0630HD; LSK0637HD; LSK0641HD; LSK0642HD,after_normalized_csv,,Requires extracted normalized supplier rows.
HI,Orion Fine Wines,Orion Fine Wines (-10%),no_rsp_price,2. NO RSP PRICE,Orion Fine Wine (Update),https://drive.google.com/drive/folders/10nL7Fml-Ucass5QdJxUrvnvRhUlxnUAe,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",HI,71,Antinori (35); Elena Walch (9); Prunotto (5); Jermann (5); Umberto Cavicchioli & Figli (4),WWW0009HI; WRW0418HI; WRW0411HI; WRW0422HI; WRW0410HI; WRW0407HI,after_normalized_csv,,Requires extracted normalized supplier rows.
HK,exquisiteelixir,exquisiteelixir,rsp_price,1.RSP PRICE,NEW! Exquisite elixir,https://drive.google.com/drive/folders/1XhaO2gm-6iFjlgiWrajw8cY-nUJ_SyD2,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",HK,15,Baron De Sigognac (7); Monnet (2); Michel Forgeron (2); Dartigalongue (1); Drouet Cognac (1),LBD0241HK; LBD0242HK; LBD0243HK; LBD0249HK; LBD0250HK; LBD0251HK,after_normalized_csv,,Requires extracted normalized supplier rows.
HK(2),exquisiteelixir,exquisiteelixir (Consignment),rsp_price,1.RSP PRICE,NEW! Exquisite elixir,https://drive.google.com/drive/folders/1XhaO2gm-6iFjlgiWrajw8cY-nUJ_SyD2,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",HK,15,Baron De Sigognac (7); Monnet (2); Michel Forgeron (2); Dartigalongue (1); Drouet Cognac (1),LBD0241HK; LBD0242HK; LBD0243HK; LBD0249HK; LBD0250HK; LBD0251HK,after_normalized_csv,,Requires extracted normalized supplier rows.
HM,JDSS,JDSS,no_rsp_price,2. NO RSP PRICE,JDSS (ไวน์ลด20% วิสกี้ลด10%) Update,https://drive.google.com/drive/folders/1ByESydr6Ss6_Hh7JUJJhBBnA9jvRxmPX,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",HM,40,The GlenAllachie (8); Domaine de la Charbonniere (7); Masahiro (6); Francois Voyer (5); Ardnamurchan (3),LGN0167HM; LBD0244HM; LGN0168HM; LGN0169HM; LBD0245HM; LBD0246HM,after_normalized_csv,,Requires extracted normalized supplier rows.
HP,JDSS,JDSS,no_rsp_price,2. NO RSP PRICE,JDSS (ไวน์ลด20% วิสกี้ลด10%) Update,https://drive.google.com/drive/folders/1ByESydr6Ss6_Hh7JUJJhBBnA9jvRxmPX,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",HP,0,,,after_normalized_csv,,Requires extracted normalized supplier rows.
AA,Italasia Head Office,Italasia Head Office (-30%),rsp_price,1.RSP PRICE,Italasia (Update),https://drive.google.com/drive/folders/1e6nMYIH0DDeKdKq_8UFyoTi2j_s_rX3Q,profiled,xlsx,Wine Price List 20.04.26 update.xlsx,high,normalizable,File shape is learned and suitable for automated normalized CSV generation.,Spreadsheet parser with repeated-header detection. Carry section/producer and region context from heading rows. For Monin/water sections use alternate Code/Item/Size/Price profile.,AA,917,Monin (85); Baron Philippe de Rothschild (45); Glenfiddich (22); Stolichnaya (22); Joseph Cartron (22),WDW0001AA; WRS0002AA; WRW0001AA; WRW0003AA; WRW0007AA; WRW0009AA,yes,,Run matcher after parser output is generated.
AB,BB&B,BB&B (Wine) (-15%),no_rsp_price,2. NO RSP PRICE,BB&B,https://drive.google.com/drive/folders/1aVFftSTY1K2TvzfKfiwFvjc9uVjXLFiD,profiled,xlsx,Coravin BB&B 11.05.27.xlsx,high,normalizable,File shape is learned and suitable for automated normalized CSV generation.,Simple spreadsheet parser. Calculate supplier cost as Normal Price * (1 - Discount). Website price should use formula because this bucket is NO RSP.,AB,1211,Riedel (167); Coravin (48); Marie Brizard (34); Masumi (31); Domaines Barons de Rothschild (27),WRW0048AB; WWW0007AB; WWW0355AB; WRW0722AB; WWW0354AB; WRW0685AB,yes,,Run matcher after parser output is generated.
EQ,United Beverage,United Beverage,rsp_price,1.RSP PRICE,United Beverage (Update),https://drive.google.com/drive/folders/143vg7UJaM4tQ7zz07IV7QbmKvfGOPbE-,profiled,xlsx,4. Quotation May 2026.xlsx,high,normalizable,File shape is learned and suitable for automated normalized CSV generation.,Spreadsheet parser with fixed Thai header aliases. Use product text as match key; no supplier item code visible in sample.,EQ,91,Douglas Laing (12); Camus (7); Tomintoul (7); Lambay (5); Saint James (4),LWH0102EQ; LWH0103EQ; LBD0017EQ; LWH0203EQ; LWH0254EQ; LWH0255EQ,yes,,Run matcher after parser output is generated.
GE,Great Wine Company Limited,Great Wine (Thailand) Company Limited,rsp_price,1.RSP PRICE,Great wine (Update),https://drive.google.com/drive/folders/19Ui31gHAOefyBUUSXZd8h24HJ94vgkoX,profiled,xlsx,List Catalog Greatwine Thailand 3.2026.xlsx,high,normalizable,File shape is learned and suitable for automated normalized CSV generation.,"Spreadsheet parser with header aliases. Carry Type, grapes/ingredient, region, country, vintage. Promotion can be stored as notes or future promotion price field.",GE,56,The Blind Pig (3); From The Valley (3); Morris (3); Woodworker's Mark (2); 2:am (2),WRW5924GE; WRW5925GE; WRW5926GE; WRW5927GE; WRW5928GE; WRW5929GE,yes,,Run matcher after parser output is generated.
AF,Vanichwattana,Vanichwattana,no_rsp_price,2. NO RSP PRICE,Vanichwathana (Update),https://drive.google.com/drive/folders/1TDJL4bBG_VUEzZjDjSxaVULheI-CXCtu,profiled,xlsx,WineNow_Fu_Website_January  2026_Final.xlsx,medium,normalizable_with_review,File shape is learned but needs validation rules before full automation.,Spreadsheet repeated-header parser with price-expression parsing. Carry brand/producer/country section rows. Convert discounts like 1200-20% into raw price and discount fields; route NET/special/out-of-stock rows to review.,AF,453,Joseph Drouhin (46); Santa Carolina (23); Robertson Winery (12); Delas (12); Tyrrell's (11),WRW0080AF; WRW0081AF; WRW0082AF; WRW0083AF; WSP0014AF; WSP0015AF,after_normalized_csv,,Requires extracted normalized supplier rows.
AA2,Italasia,Italasia (Spirits) (-15%),rsp_price,1.RSP PRICE,Italasia (Update),https://drive.google.com/drive/folders/1e6nMYIH0DDeKdKq_8UFyoTi2j_s_rX3Q,profiled_by_shared_folder,xlsx,Wine Price List 20.04.26 update.xlsx,medium,normalizable_with_rules,Supplier code shares one Drive folder/parser with related supplier variants.,Use Italasia parser but restrict by section/category when configuring AA2.,AA,917,Monin (85); Baron Philippe de Rothschild (45); Glenfiddich (22); Stolichnaya (22); Joseph Cartron (22),WDW0001AA; WRS0002AA; WRW0001AA; WRW0003AA; WRW0007AA; WRW0009AA,after_normalized_csv,,Requires extracted normalized supplier rows.
AA4,Italasia,Italasia (Premium Wine) (-15%),rsp_price,1.RSP PRICE,Italasia (Update),https://drive.google.com/drive/folders/1e6nMYIH0DDeKdKq_8UFyoTi2j_s_rX3Q,profiled_by_shared_folder,xlsx,Wine Price List 20.04.26 update.xlsx,medium,normalizable_with_rules,Supplier code shares one Drive folder/parser with related supplier variants.,Use Italasia parser but restrict by premium wine section/brand list when configured.,AA,917,Monin (85); Baron Philippe de Rothschild (45); Glenfiddich (22); Stolichnaya (22); Joseph Cartron (22),WDW0001AA; WRS0002AA; WRW0001AA; WRW0003AA; WRW0007AA; WRW0009AA,after_normalized_csv,,Requires extracted normalized supplier rows.
AB2,BB&B,BB&B (Liquor) (-10%),no_rsp_price,2. NO RSP PRICE,BB&B,https://drive.google.com/drive/folders/1aVFftSTY1K2TvzfKfiwFvjc9uVjXLFiD,profiled_by_shared_folder,xlsx,Coravin BB&B 11.05.27.xlsx,medium,normalizable_with_rules,Supplier code shares one Drive folder/parser with related supplier variants.,Use BB&B simple parser when source file has same columns; otherwise create AB2-specific profile.,AB,1211,Riedel (167); Coravin (48); Marie Brizard (34); Masumi (31); Domaines Barons de Rothschild (27),WRW0048AB; WWW0007AB; WWW0355AB; WRW0722AB; WWW0354AB; WRW0685AB,after_normalized_csv,,Requires extracted normalized supplier rows.
AB3,BB&B,BB&B (Glassware),no_rsp_price,2. NO RSP PRICE,BB&B,https://drive.google.com/drive/folders/1aVFftSTY1K2TvzfKfiwFvjc9uVjXLFiD,profiled_by_shared_folder,xlsx,Coravin BB&B 11.05.27.xlsx,high,normalizable_with_rules,Supplier code shares one Drive folder/parser with related supplier variants.,Use BB&B simple parser.,AB,1211,Riedel (167); Coravin (48); Marie Brizard (34); Masumi (31); Domaines Barons de Rothschild (27),WRW0048AB; WWW0007AB; WWW0355AB; WRW0722AB; WWW0354AB; WRW0685AB,after_normalized_csv,,Requires extracted normalized supplier rows.
