supplier_code,supplier_name,supplier_detail,pricing_structure,drive_supplier_folder_name,master_sku_count,avg_margin_pct_2026,sales_qty_2026,price_source_priority,cost_basis,cost_calculation_type,base_markup_pct,target_margin_pct,fixed_margin_thb,rounding_rule,rsp_policy,rebate_type,rebate_pct,rebate_amount_thb,volume_rebate_rule,cash_discount_pct,payment_terms,effective_from,effective_to,approval_status,approved_by_role,notes
AA,Italasia Head Office,Italasia Head Office (-30%),rsp_price,Italasia (Update),917,34.63,326,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AA2,Italasia,Italasia (Spirits) (-15%),rsp_price,Italasia (Update),917,34.63,326,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AA4,Italasia,Italasia (Premium Wine) (-15%),rsp_price,Italasia (Update),917,34.63,326,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AB,BB&B,BB&B (Wine) (-15%),no_rsp_price,BB&B,1211,19.05,267,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AB2,BB&B,BB&B (Liquor) (-10%),no_rsp_price,BB&B,1211,19.05,267,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AB3,BB&B,BB&B (Glassware),no_rsp_price,BB&B,1211,19.05,267,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AC,Universal Fine Wine & Spirit,Universal Fine Wine & Spirit,rsp_price,Universal Wine (Update),426,18.79,227,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AC2,"EU Wine Co.,Ltd.","EU Wine Co.,Ltd.",rsp_price,EU Wine,426,18.79,227,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AD,IWS,IWS,rsp_price,IWS (Update RSP / waiting Pricelist),715,22.55,846,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AE,Gfour,Gfour,rsp_price,Gfour,403,23.33,214,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AE4,Brandconnect Thailand,Brandconnect Thailand,rsp_price,Brandconnect,403,23.33,214,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AF,Vanichwattana,Vanichwattana,no_rsp_price,Vanichwathana (Update),453,19.4,21,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AH,Ambrose,Ambrose,rsp_price,Ambrose (Update),190,17.04,424,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AI,Global Food Products,Global Food Products,,,3,23.33,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AJ,Lovely Wine,Lovely Wine,no_rsp_price,Lovely Wine (Update),196,19.59,11,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AK,Sibour,Sibour,,,85,26.59,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AM,D-Wine,D-Wine,,,3,25.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AN,Brewberry,Brewberry,,,13,21.23,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AP,Pacer Grow,Pacer Grow,,,50,21.56,1,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AR,SCS Trading,SCS Trading,no_rsp_price,SCS (E-Shochu) (Update),106,15.36,1,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AU,Smiling Mad Dog,Smiling Mad Dog,,,74,19.31,11,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AU2,Smiling Dark House,Smiling Dark House,rsp_price,Smiling Dark House (Wine),74,19.31,11,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AV,Drinkwise,Drinkwise,,,54,21.22,1,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AX,"Flow Inter Co., Ltd.","Flow Inter Co., Ltd.",,,15,21.93,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BD,Oceanglass,Oceanglass,,,63,32.86,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BG,Mini bar services,Mini bar services (Thailand),,,4,21.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BH,"W.kiert & Fuji Co., Ltd.","W.kiert & Fuji Co., Ltd.",,,12,23.33,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BJ,Yongchien Intertrade,Yongchien Intertrade,,,3,19.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BK,APHI Enterprise,APHI Enterprise,,,1,27.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BL,Pacific B&B,Pacific B&B,,,22,23.23,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BM,European Manufacturers United,European Manufacturers United,,,212,26.23,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BN,"IQ Wine CO.,Ltd.","IQ Wine CO.,Ltd.",no_rsp_price,IQ Wine (Update),362,19.43,211,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BQ,International Beverage,International Beverage,,,30,23.47,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BR,Great Earth International Company Limited,Great Earth International Company Limited,,,57,28.68,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BS,"Texica Co., Ltd","Texica Co., Ltd (Head Office)",no_rsp_price,Texica (Update),151,20.05,122,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BT,"The Pacific Cigar co.,ltd","The Pacific Cigar (Thailand) co.,ltd (Cigar)",,,152,20.67,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BT2,"The Pacific Cigar co.,ltd","The Pacific Cigar (Thailand) co.,ltd (Whisky)",,,152,20.67,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BT3,"The Pacific Cigar co.,ltd","The Pacific Cigar (Thailand) co.,ltd (Sake&Shochu)",,,152,20.67,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BU(11),Somphop Liquor,Somphop Liquor,retail_cash_store,Somphop (Update),526,8.56,295,cash_store_cost_then_formula,cost_ex_vat_or_cash_invoice,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BU,Suriwongse Store,Suriwongse Store (OTHER),retail_cash_store,Surawong Store (Update),526,8.56,295,cash_store_cost_then_formula,cost_ex_vat_or_cash_invoice,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BU(2),Suriwongse Store,Suriwongse Store (OTHER),retail_cash_store,Surawong Store (Update),526,8.56,295,cash_store_cost_then_formula,cost_ex_vat_or_cash_invoice,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BU(4),Suriwongse Store,Suriwongse Store (Pernod Ricard),retail_cash_store,Surawong Store (Update),526,8.56,295,cash_store_cost_then_formula,cost_ex_vat_or_cash_invoice,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BU-VV,Vim&Vigor,Vim&Vigor (Consignment),,,526,8.56,295,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BU(8),ห้างหุ้นส่วน แฉล้มนิมิต,ห้างหุ้นส่วน แฉล้มนิมิต (Diageo),retail_cash_store,Chalamnimit (Update),526,8.56,295,cash_store_cost_then_formula,cost_ex_vat_or_cash_invoice,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BU(9),Suriwongse Store,Suriwongse Store (Brown-Forman),retail_cash_store,Surawong Store (Update),526,8.56,295,cash_store_cost_then_formula,cost_ex_vat_or_cash_invoice,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
BX,"Beervana Co.,Ltd.","Beervana (Thailand) Co.,Ltd.",,,13,26.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CA,"The Bottles Co., Ltd.","The Bottles Co., Ltd.",,,23,26.3,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CB,"Boozia Distribution Co., Ltd.","Boozia Distribution Co., Ltd.",no_rsp_price,Boozia (Update),173,24.99,54,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CC,2 Remedy Thailand Company Limited,2 Remedy Thailand Company Limited,,,2,24.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CE,"Crave Beverage Co.,Ltd.","Crave Beverage Co.,Ltd.",,,52,20.65,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CH,Siam Winery,Siam Winery,rsp_price,Siam Winery (Update),97,17.94,139,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CI,Corner Stone,Corner Stone (ทรีไลน์),,,51,24.75,3,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CN,Alchemy Thailand,Alchemy Thailand,rsp_price,Alchemy (Update),298,11.77,331,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CP,Somphop Liquor,Somphop Liquor,retail_cash_store,Somphop (Update),59,24.68,3,cash_store_cost_then_formula,cost_ex_vat_or_cash_invoice,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CQ,"Jiggers Co.,Ltd.","Jiggers Co.,Ltd.",no_rsp_price,Jigger,141,27.15,1,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CS,Hacklberg Thailand,Hacklberg Thailand,,,9,23.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CT,Perfetto Foods,Perfetto Foods,,,8,25.88,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CU,"Jiamphattana Food And Beverage Co.,Ltd.","Jiamphattana Food And Beverage Co.,Ltd.",,,31,25.06,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CW,Fusion Providores International Facilitation,Fusion Providores International Facilitation,,,4,26.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
CY,"The Matter of Taste Co., Ltd.","The Matter of Taste Co., Ltd.",,,2,21.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DA,Serenity Wines,Serenity Wines,,,9,15.56,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DB,Bacchus Global,Bacchus Global,no_rsp_price,Bacchus Global (Update),180,16.75,9,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DD,Noble Marketing,Noble Marketing,rsp_price,Noble Marketing,247,18.94,273,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DD(2),Noble Marketing,Noble Marketing (Consignment),rsp_price,Noble Marketing,247,18.94,273,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DE,"Primator Co., Ltd.","Primator (Thailand) Co., Ltd.",,,10,27.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DG,Premium Thai Brand Co.Ltd,Premium Thai Brand Co.Ltd,rsp_price,Bootlegger (Premium Thai Brand) (Update),177,14.9,42,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DH,Estella Company Limited,Estella Company Limited,no_rsp_price,Estella Wine,225,19.64,1,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DJ,"Wine 5 Co.,Ltd.","Wine 5 Co.,Ltd.",no_rsp_price,Wine 5 (Update),398,21.34,10,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DJ(2),"Wine 5 Co.,Ltd.","Wine 5 Co.,Ltd. (Consignment)",no_rsp_price,Wine 5 (Update),398,21.34,10,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DK,"Riesling & Co Co., Ltd.","Riesling & Co Co., Ltd.",,,113,20.53,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DN,"Fizz Boyz Co., Ltd.","Fizz Boyz Co., Ltd.",,,101,17.47,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
