supplier_code,supplier_name,supplier_detail,pricing_structure,drive_supplier_folder_name,master_sku_count,avg_margin_pct_2026,sales_qty_2026,price_source_priority,cost_basis,cost_calculation_type,base_markup_pct,target_margin_pct,fixed_margin_thb,rounding_rule,rsp_policy,rebate_type,rebate_pct,rebate_amount_thb,volume_rebate_rule,cash_discount_pct,payment_terms,effective_from,effective_to,approval_status,approved_by_role,notes
DP,Silver Lake,Silver Lake,,,5,19.2,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DR,IWS - Bacardi,IWS - Bacardi (Thailand),rsp_price,Bacardi,58,4.48,62,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DT,Yummy House,Yummy House,,,22,23.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DU,San Miguel Thailand,San Miguel Thailand,,,10,23.4,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DW,T/A Beverage,T/A Beverage,no_rsp_price,TA Beverage (Update),85,27.94,15,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
DY,"TempTech Co., Ltd.","TempTech (Thailand) Co., Ltd.",,,29,23.21,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EC,GLOBO Internacional,GLOBO Internacional,,,19,24.47,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
ED,"WINE IS WINE CO., LTD.","WINE IS WINE CO., LTD.",,,73,24.01,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EF,Primal Product,Primal Product,no_rsp_price,Primal Product (Update),11,19.0,0,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EG,Wine Direct,Wine Direct (Thailand),no_rsp_price,Wine Direct (Update),47,21.28,7,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EH,Terroir Wines,Terroir Wines,,,22,16.77,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EI,Pinnacle Gastro,Pinnacle Gastro,rsp_price,Pinnacle gastro (Update),12,17.58,12,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EJ,Dometic,Dometic,,,25,21.4,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EK,Cote d Azur Spirits,Cote d Azur Spirits,,,7,24.14,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EL,Intershinningline,Intershinningline,,,14,20.36,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EM,Forteway Food&Beverage,Forteway Food&Beverage,,,9,24.11,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EN,Verasu,Verasu,,,21,21.33,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EP,Repour thailand,Repour thailand,,,1,27.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EQ,United Beverage,United Beverage,rsp_price,United Beverage (Update),91,18.88,7,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
ER,Magic Potion Ltd.,Magic Potion Ltd.,rsp_price,Magic Postion (Update),130,27.39,41,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
ER2,Vinelentine,Vinelentine,no_rsp_price,Valentien Wine (Update),130,27.39,41,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
ES,Thai Beverage,Thai Beverage,rsp_price,Thaibev,32,17.0,4,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EW,Sophienwald,Sophienwald,,,5,23.8,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
EX,"Pulmentum Co., Ltd.","Pulmentum Co., Ltd.",,,1,21.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FA,"MC GLOBIZ CO.,LTD.","MC GLOBIZ CO.,LTD.",,,5,27.4,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FC,Valentine Wines,Valentine Wines,no_rsp_price,Valentien Wine (Update),186,20.84,19,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FD,Little Gourmandises,Little Gourmandises,,,8,23.12,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FJ(2),Italthai,Italthai (Consignment),rsp_price,Italthai (Update),169,18.67,144,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FK,"P.K.C. Project Management Co.,Ltd.","P.K.C. Project Management Co.,Ltd. (Consignment)",,,11,15.73,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FL,AVIVA,AVIVA (Consignment),,,4,17.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FM,Kantina,Kantina,,,4,28.25,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FN,Enoteca,Enoteca,no_rsp_price,Enoteca,37,27.95,0,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FO,Wine Merchant,Wine Merchant,no_rsp_price,Wine merchant (Update),64,16.5,43,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FP,Central Retail,Central Retail,,,97,15.6,1,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FR,WINE PRO,WINE PRO,rsp_price,Wine Pro (Update),54,14.72,23,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FR(2),WINE PRO,WINE PRO (Consignment),rsp_price,Wine Pro (Update),54,14.72,23,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FS,SK Liquor,SK Liquor,no_rsp_price,SK Liqour (Update),138,21.48,80,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FT,LUXE WINE,LUXE WINE,no_rsp_price,LUXE Wine (Update),38,22.05,6,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FU,Wine Diva,Wine Diva (Consignment),no_rsp_price,Wine Diva (Update),34,20.24,0,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FV,Ouranos BKK,Ouranos BKK (Consignment),,,1,25.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FW,Keith and Kym,Keith and Kym,,,99,27.07,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FX,Granmonte,Granmonte,rsp_price,Granmonte (Update),17,20.82,25,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FX(2),Granmonte,Granmonte (Consignment),rsp_price,Granmonte (Update),17,20.82,25,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
FY,Motavi Co Ltd,Motavi Co Ltd,,,10,28.8,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GA,Connect Asia,Connect Asia,,,2,28.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GB,"WOLB ENTERPRISE CO., LTD","WOLB ENTERPRISE CO., LTD",,,5,10.0,5,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GB(2),"WOLB ENTERPRISE CO., LTD","WOLB ENTERPRISE CO., LTD (Consignment)",,,5,10.0,5,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GC,Finesip,Finesip,rsp_price,Finesip & Mr.cru (Update),27,22.26,13,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GE,Great Wine Company Limited,Great Wine (Thailand) Company Limited,rsp_price,Great wine (Update),56,23.07,6,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GF,Creative Bottles Asia Pacific,Creative Bottles Asia Pacific,,,13,23.54,8,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GG,P.U.R. Distillery Co. Ltd.,P.U.R. Distillery Co. Ltd. (Head Office),,,6,30.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GI,Wine Pilot,Wine Pilot,,,2,15.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GK,Asura Beverage,Asura Beverage (Consignment),,,9,31.67,14,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GL,Royal Gateway,Royal Gateway,,,2,24.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GM,Baeksan,Baeksan,,,14,13.57,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GN,MR.CRU,MR.CRU,rsp_price,Finesip & Mr.cru (Update),4,20.25,0,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GQ,Noble Wine,Noble Wine (Consignment),,,17,19.65,1,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GR,Inchon distillery,Inchon distillery (Consignment),,,3,15.33,4,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GS,Yummy Greece,Yummy Greece,,,7,27.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GT,RD Wine Consulting,RD Wine Consulting (Consignment),,,48,21.69,13,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GU,"One Bev .Co.,Ltd","One Bev .Co.,Ltd (Consignment)",rsp_price,"One Bev .Co.,Ltd",21,23.48,4,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GV,"K.R.INTERTRADE 2017 CO.,LTD","K.R.INTERTRADE 2017 CO.,LTD",,,5,25.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GW,Ideal Wine,Ideal Wine,rsp_price,Ideal Wine,294,24.03,13,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GW(2),Ideal Wine,Ideal Wine (Consignment),rsp_price,Ideal Wine,294,24.03,13,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
GX,"Double A Distribution Co., Ltd.","Double A Distribution Co., Ltd. (D.A.D.)",rsp_price,DAD (Update),55,19.62,31,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HC,Vim&Vigor,Vim&Vigor (Consignment),,,21,6.1,3,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HC-CEL,เซเลสเทียร์,เซเลสเทียร์ (Consignment),,,21,6.1,3,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HD,The Sake Merchant,The Sake Merchant,rsp_price,Sake merchant,45,34.51,0,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HE,บริษัท วินเนอร์โฮม จำกัด,บริษัท วินเนอร์โฮม จำกัด (Consignment),,,2,30.0,0,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HF,Onson,Onson (Consignment),,,8,16.0,2,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HI,Orion Fine Wines,Orion Fine Wines (-10%),no_rsp_price,Orion Fine Wine (Update),71,21.59,43,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HK,exquisiteelixir,exquisiteelixir,rsp_price,NEW! Exquisite elixir,15,15.0,1,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HK(2),exquisiteelixir,exquisiteelixir (Consignment),rsp_price,NEW! Exquisite elixir,15,15.0,1,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HM,JDSS,JDSS,no_rsp_price,JDSS (ไวน์ลด20% วิสกี้ลด10%) Update,40,13.3,17,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
HP,JDSS,JDSS,no_rsp_price,JDSS (ไวน์ลด20% วิสกี้ลด10%) Update,,,,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
WN,Wine-now,Wine-now,,,17,23.82,51,define_later,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
